sectionname,starttime,endtime,duration,responsetime,delta,condition,response,accuracy
Stim2_179,421.01537799835205,421.73207211494446,0.7166941165924072,421.73207211494446,0.7166941165924072,left-neut,left,1
Stim2_180,421.7655589580536,422.26982498168945,0.5042660236358643,,,,,
Stim2_181,422.30334210395813,422.7820749282837,0.4787328243255615,422.7820749282837,0.4787328243255615,right-neut,right,1
Stim2_182,422.8155429363251,423.3321011066437,0.5165581703186035,,,,,
Stim2_183,423.36540699005127,423.8820950984955,0.5166881084442139,423.8820950984955,0.5166881084442139,left-neut,left,1
Stim2_184,423.9155399799347,424.41982102394104,0.5042810440063477,,,,,
Stim2_185,424.4531590938568,425.0321171283722,0.5789580345153809,425.0321171283722,0.5789580345153809,left-con,left,1
Stim2_186,425.06546807289124,425.56549310684204,0.5000250339508057,,,,,
Stim2_187,425.59876704216003,426.14876794815063,0.5500009059906006,426.14876794815063,0.5500009059906006,left-con,left,1
Stim2_188,426.1821200847626,426.68650007247925,0.5043799877166748,,,,,
Stim2_189,426.7198050022125,427.2488040924072,0.5289990901947021,427.2488040924072,0.5289990901947021,left-neut,left,1
Stim2_190,427.28217601776123,427.78217816352844,0.5000021457672119,,,,,
Stim2_191,427.81549096107483,428.3154971599579,0.5000061988830566,428.3154971599579,0.5000061988830566,left-neut,left,1
Stim2_192,428.3488259315491,428.8532381057739,0.5044121742248535,,,,,
Stim2_193,428.8866500854492,429.6991460323334,0.8124959468841553,429.6991460323334,0.8124959468841553,left-inc,left,1
Stim2_194,429.73218512535095,430.23220896720886,0.5000238418579102,,,,,
